Instancia;|N|;|S|;|K|;Tiempo (ms);#Labels;#Iter GC;F Obj;LB;Gap
instance_n10_s2_k2;10;2;2;121;245;1;36;36;0%
instance_n10_s5_k3;10;5;3;25;2206;7;37;37;0%
instance_n10_s7_k5;10;7;5;77;9164;5;39;39;0%
instance_n11_s2_k2;11;2;2;2;239;1;26;26;0%
instance_n11_s5_k3;11;5;3;11;2722;5;25;22.5;11.11%
instance_n11_s8_k5;11;8;5;73;6866;9;48;42.75;12.28%
instance_n12_s3_k2;12;3;2;5;1549;3;46;46;0%
instance_n12_s6_k3;12;6;3;7;1410;6;36;36;0%
instance_n12_s9_k5;12;9;5;31;5494;11;52;52;0%
instance_n13_s3_k2;13;3;2;4;960;3;30;30;0%
instance_n13_s6_k3;13;6;3;78;11456;7;64;64;0%
instance_n13_s9_k5;13;9;5;93;6829;6;66;61.33;7.61%
instance_n14_s3_k2;14;3;2;4;900;4;29;29;0%
instance_n14_s7_k3;14;7;3;1268;51097;8;63;56.5;11.5%
instance_n14_s10_k5;14;10;5;866;58166;14;63;61.4;2.61%
instance_n15_s3_k2;15;3;2;5;1284;3;30;30;0%
instance_n15_s7_k3;15;7;3;3728;81122;7;61;57.5;6.09%
instance_n15_s11_k5;15;11;5;27089;505279;14;81;76.33;6.11%
instance_n16_s4_k2;16;4;2;29;5090;6;38;31;22.58%
instance_n16_s8_k3;16;8;3;4260;101045;12;56;48.67;15.07%
instance_n16_s12_k5;16;12;5;58595;689725;15;93;91.33;1.82%
instance_n17_s4_k2;17;4;2;125;9197;4;39;39;0%
instance_n17_s8_k3;17;8;3;246;17609;9;81;81;0%
instance_n17_s12_k5;17;12;5;4812;102406;17;66;61;8.2%
instance_n18_s4_k2;18;4;2;14;2911;4;28;28;0%
instance_n18_s9_k3;18;9;3;5598;99303;10;98;98;0%
instance_n18_s13_k5;18;13;5;15292;210945;13;98;98;0%
instance_n19_s4_k2;19;4;2;75;7704;5;76;76;0%
instance_n19_s9_k3;19;9;3;926;28778;9;51;51;0%
instance_n19_s14_k5;19;14;5;TLE;1300444;18;105.71;---;---
instance_n20_s5_k2;20;5;2;92;8412;6;42;42;0%
instance_n20_s10_k3;20;10;3;TLE;77876;12;80;---;---
instance_n20_s15_k5;20;15;5;28796;548190;18;90;90;0%
instance_n21_s5_k2;21;5;2;2357;41405;6;49;49;0%
instance_n21_s10_k3;21;10;3;16752;334674;15;62;62;0%
instance_n21_s15_k5;21;15;5;TLE;100780;14;129.67;---;---
instance_n22_s5_k2;22;5;2;28756;126127;6;61;61;0%
instance_n22_s11_k3;22;11;3;120455;457902;13;99;94.5;4.76%
instance_n22_s16_k5;22;16;5;TLE;204405;20;94.33;---;---
instance_n23_s5_k2;23;5;2;162;17279;7;41;41;0%
instance_n23_s11_k3;23;11;3;TLE;59170;18;79;---;---
instance_n23_s17_k5;23;17;5;TLE;264871;20;119.43;---;---
instance_n24_s6_k2;24;6;2;5794;116164;9;66;62;6.45%
instance_n24_s12_k3;24;12;3;TLE;245789;18;114.75;---;---
instance_n24_s18_k5;24;18;5;TLE;2052422;29;132.56;---;---
instance_n25_s6_k2;25;6;2;29350;232046;10;73;69.5;5.04%
instance_n25_s12_k3;25;12;3;TLE;87696;14;77.5;---;---
instance_n25_s18_k5;25;18;5;TLE;280353;22;119;---;---
instance_n26_s6_k2;26;6;2;688;40637;9;53;53;0%
instance_n26_s13_k3;26;13;3;TLE;1129945;21;101.39;---;---
instance_n26_s19_k5;26;19;5;TLE;1084543;29;138.06;---;---
instance_n27_s6_k2;27;6;2;7778;85330;10;86;81.5;5.52%
instance_n27_s13_k3;27;13;3;TLE;838399;21;102;---;---
instance_n27_s20_k5;27;20;5;TLE;256137;20;142;---;---
instance_n28_s7_k2;28;7;2;637;29774;10;56;56;0%
instance_n28_s14_k3;28;14;3;TLE;223487;17;116.8;---;---
instance_n28_s21_k5;28;21;5;TLE;547533;21;143.33;---;---
instance_n29_s7_k2;29;7;2;4212;122165;9;75;75;0%
instance_n29_s14_k3;29;14;3;TLE;560764;22;120.44;---;---
instance_n29_s21_k5;29;21;5;TLE;689810;36;142.62;---;---
instance_n30_s7_k2;30;7;2;20292;423310;12;84;84;0%
instance_n30_s15_k3;30;15;3;TLE;367852;18;103.8;---;---
instance_n30_s22_k5;30;22;5;TLE;1166683;29;169.93;---;---
instance_n32_s8_k2;32;8;2;TLE;530123;14;80;---;---
instance_n32_s16_k3;32;16;3;TLE;595205;23;89.7;---;---
instance_n34_s8_k2;34;8;2;TLE;78250;13;105;---;---
instance_n34_s17_k3;34;17;3;TLE;1319270;30;123.91;---;---
instance_n36_s9_k2;36;9;2;TLE;346981;14;103;---;---
instance_n36_s18_k3;36;18;3;TLE;3895144;24;152;---;---
instance_n38_s9_k2;38;9;2;478628;1049078;19;88;88;0%
instance_n38_s19_k3;38;19;3;TLE;751008;39;126;---;---
instance_n40_s10_k2;40;10;2;TLE;1072531;17;147;---;---
instance_n40_s20_k3;40;20;3;TLE;2578432;27;165.5;---;---

