Instancia;|N|;|S|;|K|;Tiempo (ms) s/Heur.;Sol. Óptima;#Iter GC s/Heur.;Tiempo (ms) c/Heur.;Sol. Aprox.;#Iter GC c/Heur.;Gap Exacto;Cota Inferior;Gap Aprox.
instance_n3_s1_k1;3;1;1;130;6;1;3;6;1;0%;6;0%
instance_n4_s2_k1;4;2;1;12;10;4;13;10;4;0%;10;0%
instance_n5_s2_k1;5;2;1;9;6;4;10;6;4;0%;6;0%
instance_n6_s3_k2;6;3;2;27;6;4;29;6;3;0%;6;0%
instance_n7_s3_k2;7;3;2;14;22;3;10;22;3;0%;22;0%
instance_n8_s3_k2;8;3;2;13;14;4;9;14;4;0%;14;0%
instance_n9_s4_k2;9;4;2;17;24;4;14;24;4;0%;24;0%
instance_n10_s7_k3;10;7;3;34;51;6;63;51;7;0%;51;0%
instance_n10_s2_k2;10;2;2;3;16;1;2;16;1;0%;16;0%
instance_n11_s9_k3;11;9;3;127;47;9;102;44;11;-6.38%;44;0%
instance_n11_s2_k2;11;2;2;6;22;3;7;22;3;0%;22;0%
instance_n12_s10_k3;12;10;3;76;50;11;111;50;11;0%;50;0%
instance_n12_s3_k2;12;3;2;55;34;3;23;34;3;0%;34;0%
instance_n13_s3_k2;13;3;2;8;26;4;6;26;4;0%;26;0%
instance_n13_s11_k3;13;11;3;228;67;14;97;68;12;1.49%;59.33;14.61%
instance_n14_s12_k3;14;12;3;88;60;14;178;57;21;-5%;53;7.55%
instance_n14_s4_k2;14;4;2;8;46;6;9;46;6;0%;46;0%
instance_n15_s2_k2;15;2;2;2;30;1;2;30;1;0%;30;0%
instance_n15_s13_k4;15;13;4;122;71;17;138;73;19;2.82%;70;4.29%
instance_n15_s8_k2;15;8;2;33;43;12;37;43;11;0%;43;0%
instance_n16_s13_k4;16;13;4;126;98;16;125;98;14;0%;97.5;0.51%
instance_n16_s8_k2;16;8;2;38;57;11;46;57;10;0%;56;1.79%
instance_n16_s3_k2;16;3;2;5;44;4;5;44;4;0%;44;0%
instance_n17_s14_k4;17;14;4;84;75;18;72;75;15;0%;74.38;0.84%
instance_n17_s4_k2;17;4;2;11;39;6;18;39;6;0%;39;0%
instance_n17_s9_k2;17;9;2;109;63;18;136;63;15;0%;63;0%
instance_n18_s5_k2;18;5;2;69;57;5;62;57;9;0%;57;0%
instance_n18_s10_k2;18;10;2;166;58;14;225;60;16;3.45%;60;0%
instance_n18_s15_k4;18;15;4;162;84;18;214;82;15;-2.38%;75.4;8.75%
instance_n19_s5_k2;19;5;2;21;56;7;12;56;4;0%;55.5;0.9%
instance_n19_s17_k4;19;17;4;295;103;22;220;103;17;0%;99.75;3.26%
instance_n19_s10_k2;19;10;2;81;77;15;73;77;15;0%;77;0%
instance_n20_s15_k5;20;15;5;119;70;17;84;70;10;0%;67.2;4.17%
instance_n20_s10_k2;20;10;2;214;85;17;157;79;15;-7.06%;79;0%
instance_n20_s5_k2;20;5;2;16;31;7;17;31;7;0%;31;0%
instance_n25_s15_k3;25;15;3;1119;131;20;984;134;20;2.29%;125;7.2%
instance_n25_s10_k2;25;10;2;205;65;27;181;65;17;0%;65;0%
instance_n25_s20_k5;25;20;5;7637;141;24;6437;141;24;0%;127.6;10.5%
instance_n30_s20_k3;30;20;3;3377;136;34;4335;130;33;-4.41%;129.62;0.29%
instance_n30_s15_k2;30;15;2;1009;98;27;675;99;25;1.02%;94.2;5.1%
instance_n30_s25_k5;30;25;5;5937;148;35;4261;150;22;1.35%;146;2.74%
instance_n35_s20_k3;35;20;3;10633;126;32;17403;126;28;0%;118.84;6.02%
instance_n35_s15_k2;35;15;2;5955;136;29;9397;132;28;-2.94%;132;0%
instance_n35_s25_k5;35;25;5;4493;181;34;2894;182;27;0.55%;179;1.68%
instance_n40_s20_k3;40;20;3;132799;173;60;58279;174;37;0.58%;169.5;2.65%
instance_n40_s15_k2;40;15;2;9138;136;34;9148;129;36;-5.15%;129;0%
instance_n40_s30_k5;40;30;5;29496;199;40;33791;194;32;-2.51%;186.7;3.91%
instance_n45_s20_k3;45;20;3;17452;159;30;15749;152;29;-4.4%;152;0%
instance_n45_s40_k5;45;40;5;134447;243;64;151769;238;57;-2.06%;228.25;4.27%
instance_n45_s15_k2;45;15;2;16168;157;34;10852;157;26;0%;157;0%
instance_n50_s45_k5;50;45;5;160539;218;83;87726;218;62;0%;210.42;3.6%
instance_n50_s10_k2;50;10;2;963;59;15;951;59;14;0%;58.3;1.2%
instance_n50_s20_k3;50;20;3;31134;143;36;13042;142;34;-0.7%;139.25;1.97%
instance_n55_s20_k3;55;20;3;27149;217;31;26015;216;26;-0.46%;207.9;3.9%
instance_n55_s10_k2;55;10;2;4277;174;17;4983;176;16;1.15%;166.67;5.6%
instance_n55_s45_k5;55;45;5;399056;239;92;487636;238;76;-0.42%;226.81;4.94%
instance_n60_s10_k2;60;10;2;8588;183;15;10083;183;20;0%;169;8.28%
instance_n60_s20_k3;60;20;3;165413;209;52;121311;223;29;6.7%;212.86;4.77%
instance_n60_s50_k5;60;50;5;TLE;344.93;74;TLE;346.75;58;---;---;---
instance_n65_s10_k2;65;10;2;5312;145;20;3883;102;13;-29.66%;102;0%
instance_n65_s20_k3;65;20;3;93359;225;37;199589;225;27;0%;224.08;0.41%
instance_n65_s55_k5;65;55;5;TLE;1983;13;TLE;818.15;10;---;---;---
instance_n70_s10_k2;70;10;2;47371;247;25;33866;247;19;0%;234.25;5.44%
instance_n70_s30_k3;70;30;3;TLE;256.33;88;TLE;261.95;43;---;---;---
instance_n70_s60_k5;70;60;5;TLE;797.17;21;TLE;1039.4;10;---;---;---
instance_n80_s40_k5;80;40;5;TLE;793.05;14;TLE;379.24;26;---;---;---

